id,text,humor_rating
tweet5689,Algun dia mi teléfono va a tene 100% de bateria,1.3333333333
tweet2935,When se cae #Whatsapp pero no te importa porque nadie ye habla :(,3.0
tweet12142,"Mi novio me pidió tiempo yo le dije: -Cielo parcialmente nublado,  y probabilidad de lluvias, temperatura 20°C",3.0
tweet3128,"24 de diciembre, día mundial de:

—“¿Y la novia sobrino?”",2.75
tweet20402,"A mí es que me da todo igual..¿Sabes..?.
-¿Follamos...?.
-Bueno,...casi todo.",1.8
tweet21505,"—¡MIJO, YA NO HAY PAPEL, PÁSAME ESO QUE ESTÁ COLGADO EN LA SALA!  —Papá, es mi título de diseñador gráfico. ☹️  —Ya, pásame esa basura.",3.0
tweet13295,"Gente que llega a tu casa y te pregunta: ""¿Tienes baño?""... PUES OBVIO QUE TENGO, NI QUE FUERA CAVERNÍCOLA.",2.6
tweet13122,"Me cagan esos que andan en sus motos acelerando durísimo con el escape roto, como si todos quisiéramos oír la potencia de su pobreza.",1.0
tweet9098,"—Mi amor ¿me compras un teléfono?   
—¿Y el otro?   
—El otro me va a comprar un iPad   
—¡ME REFERÍA AL OTRO TELÉFONO!
— :( AY!!",1.8
tweet18522,"Sábado con ""S"" de salir de la cama para ir al baño y de regreso.",1.3333
tweet9879,"Necesito una silla de ruedas, desde que a mi mujer le amputaron las piernas es un embole alzarla hasta la cocina para que me haga mate.",1.75
tweet12299,"Una madre oriental absorvente..
es ponja?",3.0
tweet23208,"- Oye, ¿Qué te pasa? - Es que casi atropello a mi suegra. - ¿Qué pasó? ¿Te falló el freno? - No, ¡El acelerador!",2.6
tweet19819,"- Sabes, eres como un lunes. - Por qué? - Nadie te quiere!",1.6
tweet17429,"Tutorial de enamorar:
Digale: Adoro tu culo
guau",1.0
tweet4415,"Dos amigos:
- Sabes que mi mujer, a la hora del amor, es como un pez en el agua.
- ¿Qué hace?
- Pues, nada...",2.6667
tweet3250,MIJO SOY TU TIA BERTHA DEJASTE TU TUISDER ABIERTO ACA EN LA CASA YA TIENES LO DE LA TANDA? SALUDOS A TUS PAPAS,2.0
tweet615,"Un tipo tan de malas que compró el libro COMO DOMINAR A LAS MUJERES, y la mujer no se lo dejó leer. xD",2.6
tweet6252,—Préstame el sacapuntas... —¿Para qué? —¡Para borrar ESTÚPIDO! #fb,1.0
tweet16316,"— Mamá, mamá, ¿Es cierto que descendemos de los monos? — No lo sé cariño, tu padre nunca me ha presentado a su familia.",2.5
tweet1216,"-Wow, se te ve súper bien el contour, pero creo que te quedo un pedazo sin difuminar.
-Es ceniza. 
-Aoksalebyewatch",2.3333
tweet3233,"Si Adán y Eva hubieran sido chinos, todavía estaríamos en el paraíso, por que se habrían comido la serpiente en vez de la puta manzana.",3.0
tweet10029,"-Mamá, ¿qué me vas a dar por el día del niño?
-Nada, yo ya no tengo niños.
-Uy pues yo ya no tengo mamá.
-No mames pendejo, ya tienes 35.",2.4
tweet20073,"Mi mujer me dijo que a nuestra relacion le hacia falta magia... pin pun..
me desapareci 8 dias..#chistes #humor",2.6
tweet19427,La pereza es la madre de todos los vicios y como madre… hay que respetarla.,2.3333
tweet19448,#PokemonGO ¿Hay un Snorlax en medio de la calle? ¿Por que no avanza el trafico?,1.0
tweet16270,"¿Cursi yo? Jajajaja cursi el delicado sonido del silencio que le susurra a mi corazón lo que tu nombre significa, para este tonto enamorado.",2.6
tweet23406,"Lo que quiero: ganar dinero y perder peso.

Lo que hago: perder dinero y ganar peso.",2.75
