id,text,humor_mechanism
tweet22667,"—¿Me prestas tu baño?
—No sirve.
—¿Lo están reparando?
—No, no llega el WiFi.
—Ah no, entonces permíteme cagarme aquí en la sala.
—Adelante.",exaggeration
tweet21986,"Tenía un chiste buenísimo para contarte que se te iban hasta caer las tetas! pero te vi y dije -Na, ya se lo contaron #xD #JAJAJA #RT",embarrassment
tweet3679,"Uso del celular: —5% llamadas. —12% WhatsApp. —8% Twitter. — 75% Sacarlo para ver la hora y después preguntarte ""¿Qué hora era?"".",reference
tweet20477,Entra un tipo loco de remate y... ¡Goooolll!,absurd
tweet10203,Busco novia. Tengo helado y el aire acondicionado en 16.,parody
tweet9825,"Una señora le dice a otra: -No puedo comer carne! -¿Presión alta? -No, pensión baja!",unmasking
tweet19776,"Con Twitter, la frase de «Me lo contó un pajarito» cobra sentido.",parody
tweet9621,"Si yo fuera un pájaro, serías a la primera persona que cagaría.",analogy
tweet3703,"#FF a @diazdangelo me pone contento, mas que emo en un tiroteo...",stereotype
tweet8412,"Lugares más poblados del mundo: 

- China.
- India.
- Estados Unidos.
- La Chingada.",absurd
tweet8994,"Los Japoneses son astutos, sino fíjense como miran, como con sospecha.... sin embargo ni Benji Price los va a salvar de los Mexicanos!!",stereotype
tweet1391,"Beber alcohol no es malo, peor es el agua que si no la bebes te mata.",exaggeration
tweet3707,Sos mas difícil que hacer marcha atrás en ojotas...,analogy
tweet20896,"Si una palabra estuviese mal escrita en el diccionario, ¿Cómo lo sabríamos?",absurd
tweet17644,#Chiste Mama!! Mama!! En la escuela me dicen mafioso -Dejalos hijo yo me encargo de ellos - SI pero haz que parezca un accidente #chistes RT,parody
tweet15822,"—Abuelo¿por qué yo soy negro si mi Papá y Mamá son blancos?
—Recuerdas cuando fuimos a la playa y te quemaste mucho?
—Sí
—Pues eres adoptado",embarrassment
tweet10123,MALO: Encuentras una película porno en el cuarto de tu hijo. PEOR: Tu eres el protagonista... #fb,unmasking
tweet22832,La señora se queja de los aros y el Señor de los Anillos. #CHISTES,parody
tweet23419,1er Acto: 1 Gorda Cn 1 Pistola 2do:La Misma Gorda Cn Cuchillo 3er:La Misma Gorda Cn 1 Escopeta Como Se LLama La Obra? Se Armo La Gorda .,wordplay
tweet22152,"Conocerse por Twitter y terminar por culpa de Facebook. 
   
Feliz Día Mundial del Internet.",reference
tweet20305,"Cómo hacer una lasaña en dos sencillos pasos:
1.- Mete a tu madre en la cocina.
2.- Dile que la amas mucho.",reference
tweet11153,-Cada 5 minutos atropellan a un hombre en Barcelona -¿De veras? ¡Imagínate como está el pobre hombre!,misunderstanding
tweet21050,"-El médico que me operó se dejó una esponja en mi estómago. -¿Y te duele? - No, pero tengo una sed.....",absurd
tweet23334,Creo que López Obrador tiene hemorroides porque no se ha sentado. #DebateINE,irony
tweet14522,"—¿Nivel de inglés?
—Alto.
—Traduzca amarillo.
—Yellow.
—Úselo en una frase.
—Anoche vi La Era del Yellow 3.
—¡Contratadisimo!.",wordplay
tweet2419,"-Mamá, ¡en la escuela me dicen gorda! 
–Pobresilla 
-Ayyy, gracias mamá 
-Pobre silla en la que estás sentada. #xD #JAJAJA #RT",wordplay
tweet20096,RT @omarandres2: @chistemalo habia una vez un gato con 16 vidas lo atropello un 4x4 & se murio xdd,reference
tweet265,"como ladra un perro argentino?????
Este...Guau    #chistes #humor",stereotype
tweet3468,"El marido agonizante
-María, promete que cuando me muera te casaras con Antonio.
-Pero si es tu peor enemigo -Pues por eso! que se joda #xD",embarrassment
tweet10650,"-Hija y ese carro? -Me lo saque en una rifa. -Y la casa? -En otra rifa. -Hija, que haces en el baño? -Afeitandome la tómbola. #fb",wordplay
tweet16784,¿De cuantas jovencitas se alimenta Lupita Jones para poder seguir con vida? #NuestraBellezaMX,absurd
tweet20566,"Jajaja: Le dio risa.
Jijiji: Es gay. 
Hahaha: Se siente gringo. 
Jakajakaha: Tiene retraso mental. 
Jamaica: Tiene un iPhone.",analogy
tweet20563,"Nivel de enojo de una mujer:
(: = Enojada.
(: = Enojadisima.
(: = Demasiado enojada.
(: = Extremadamente enojada.
Ok = RUN FORREST RUN.",stereotype
tweet19625,"—Oiga, suegra, debería ir a participar a Master Chef.

—¿Porque? 

—Por que le quedo bien sabrosa su hija.",wordplay
tweet17181,Capitán: -¡Suelten amarras! Y Marras mordió a todos...,wordplay
tweet17694,"Un hombre va a un adivino y llama a la puerta.
- Toc toc.
- ¿Quién es?
- ¡Pues vaya porquería de adivino!",irony
tweet18641,"Vieja, cuando te mueras pondré en tu lapida…
—“Aquí mi mujer, fría y seca como siempre”
—¿Sí? Entonces la tuya dirá…“Mi esposo, al fin duro”",irony
tweet6229,"Cualquier similitud con la pereza, es pura paja 
#frases",wordplay
tweet10400,"“Es que toco la guitarra”

—Un pinche mugroso que no se corta las uñas.",reference
tweet19566,"QUÉ GANAS TREMENDAS TENGO DE TRABAJAR!

Dijo nunca jamás ningún ser vivo de ninguna galaxia conocida.",reference
tweet18068,"— Te regalo esa estrella

— Pero es el sol.

— EL SOL ES UNA ESTRELLA BRUTA HP, ES ASTRONOMÍA BÁSICA!

#XD",embarrassment
tweet19544,El partido está tan aburrido que bien podría ser el último álbum de Arctic Monkeys.,analogy
tweet654,"Como quisiera que fueras cereal, para estarte atascando de leche ahorita, chiquitita.",analogy
tweet9488,"Top cosas que se terminan muy rápido:

5. El amor.
4. Los tamales de rajas.
3. Las ganas de hacer dieta.
2. El aguinaldo.
1. Las vacaciones.",reference
tweet183,"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",insults
tweet21212,-¡Yo soy todo un varón en mi casa! -¿Y por que? -Porque cuando mi mujer me  no lloro.,reference
tweet8705,"Papá al hijo: -Mijo, venga, dele un besito al que le dio la vida... -Uyyy no papi, mejor en la mejilla! #fb",misunderstanding
tweet22030,"Compro 61 seguidores vivos, muertos o para hacer bulto hasta que llegue a 4.000. Pago algo.",exaggeration
tweet20794,"—Eres la mujer más hermosa, inteligente y amable que he visto en mi vida.
—Sólo quieres cogerme, ¿verdad?
—¡Woow! Y también lees la mente.",unmasking
tweet2860,Le voy a poner Nahuel a mi hija para que nadie se la meta.,absurd
tweet15743,"-Hola  -Hola  -Ya comiste?  -Ya comiste?  -Me estas copiando?  -Me estas copiando?  -TE AMO. -Si,si ya comi.",unmasking
tweet20488,"—¿Me prestas tu baño? —Pero no hay papel. —No importa, es para tomarme una foto para Instagram",stereotype
tweet5165,"""Ahhh ok, muchas gracias""

—Yo, después de no haber entendido nada cuando pregunto por una dirección.",reference
tweet6297,"#Chiste ‎""Era un niño tan feo, tan feo que cuando jugaba a las escondidas... nadie iba a buscarlo"" #chistes RT.",embarrassment
tweet18317,"Perdóname si te ofendí cuando te dije pendeja, honestamente pensé que ya lo sabías.",unmasking
tweet13574,"—Señorita, ¿tiene ácido acetilsalicílico?
—¿Aspirinas?
—¡Eso! Siempre se me olvida el nombre :(",exaggeration
tweet2676,Bebé ¿Estás celosa?  (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)... (Escribiendo)...  No :)))),reference
tweet18052,"Los controles para la TV están echos para perderse, buscarlos como locos y que mágicamente aparezcan en la mano.",reference
tweet14348,"-Doctor, ¿se acuerda de mí? Usted me operó y me curó del dedo -Claro que me acuerdo ¡Vengan esos cuatro!",embarrassment
tweet19238,"Nueva promo de Fibertel:
12 cuotas sin internet",parody
tweet16478,"Si mi cuerpo está compuesto en un 70% por agua, entonces no estoy gordo, estoy inundado.",wordplay
tweet6179,"En Halloween diferencio a los niños del Barça porque en vez de decir ""Trick or Treat"" dicen ""Trick or I'll steal your candies"".",stereotype
tweet14532,El amor es ciego: sólo el matrimonio puede devolverle la vista. #fb,stereotype
tweet8305,¡Qué audífonos tan grandes tienes! Son para ¡ignorarte mejor!,embarrassment
tweet19129,-Acabo de matar 2 moscas machos y 4 moscas hembras -ah cabron y como sabes? -2 estaban en el vaso de cerveza y 4 en el espejo #humortico,absurd
tweet11034,"¡Papá, papá! ¿La sordera es hereditaria?
- ¿Cómo hijo?
- ¿Qué papá?
#chistes",embarrassment
tweet23299,"Si mi novia me dice que no salga, no salgo... pero en las fotos. ¡Amooonooos!",wordplay
tweet20531,"¿Qué hace Batman en la autopista Palín Escuintla?

Batiquisate…",wordplay
tweet4113,"¿Hemos hecho ya un penalti que no nos han pitado en contra? Ah no, que no hemos empezado a jugar todavía....",absurd
tweet4499,"#Chiste
Hablo a la casa de la familia colorado??
Si!
Me comunica con el chapulin! #chistes #RT",parody
tweet16393,"Cosas en las cuales triunfo:
 
1. 
2.
3.
4.
5.
6
7.
8. Respirar.
9. Dormir.",reference
tweet18577,En el año 2.348 Mirtha Legrand va a romper su propio record sobreviviendo otro Big Bang.,absurd
tweet6582,"Mientras tú me igno... Mientras tú me... Mientras tú me ignoras... 
¡TE estoy hablando Hija de puta!!",embarrassment
tweet20042,Si tomás Actimel y usás Jabón Espadol tenés DOS campos de fuerza???,exaggeration
tweet982,"¿Cogemos? A.) Sí. B) A. C.) B.

#Chistesde2pesos",absurd
tweet15231,"Me dijo ""Hola"" creo que la boda se acerca.",exaggeration
tweet22636,"Definitivamente todos los hombres son iguales. —Catalina, 12 años y, al parecer, acaba de viajar a China.",exaggeration
tweet7538,"-Papá, podría acostarse la criada con me -No con ME, CONMIGO -Ah!, siempre tu! tu! tu! ¿Nunca piensas en los demás? #fb",misunderstanding
tweet22953,Qué triste debe ser Alejandro Sanz porque no sabe quién lo tapará esta noche si hace frío.,parody
tweet12172,Un sr. de 40 años en Elektra: -Srita. vengo a liquidar el pago de esta carreola -¿Y el bebé? -Soy yo...,misunderstanding
tweet5984,#MACHISTA: ¿Cómo conviertes una perra en una gata? Le quitas la tarjeta de crédito. by @Choyizo #fb,wordplay
tweet18281,Eres tan IDIOTA!...que te quedaste atrapado en una tienda abierta las 24 horas.,wordplay
tweet3273,Típico: Llegar a tu casa y automáticamente vestirte como indigente.,reference
tweet19284,"En la vida, no importa cuántas veces te caigas, sino cuántas veces proteges tu celular en cada caída.",parody
tweet19954,- Los zombies que llegan bien a casa ¿Zombienvenidos?,wordplay
tweet2313,"VIVIMOS EN UN PAIS SEGURO: Seguro te matan, seguro te pegan, seguro te roban, seguro te violan, seguro te estafan.",irony
tweet7485,"¡México aún puede ir al Mundial!, ¡Lástima por Canadá, ellos no clasificaron!, se tendrán que conformar con sus más de 10 premios Nobel.",irony
tweet16898,"—Amor, ¿recuerdas el día en el que nos conocimos?
—Todos los putos días.",misunderstanding
tweet15973,"TAXI ! ¿Cuánto me cobra hasta el aeropuerto?

-23 dólares
-¿Y si llevo a mi Ex? 
-Lo mismo.
... -Viste 
-Que no vales nada..#chistes RT",insults
tweet2756,"Tipico, pongo mi nombre en Google y me aparece: "" Quizas quiso decir Bestia Sexual?"" #xD",parody
tweet22669,"Mi primer día de dieta.
He eliminado de la casa todo lo que engorda.
Estaba delicioso.",reference
tweet435,"—Amor, creo que se ha roto el condón. —¡¿QUÉ?! —JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJÁ ¡Caíste! ni siquiera lo estoy usando.",unmasking
tweet16055,"— Dr, no puedo decir zapato — Pero si lo está diciendo — No, escúcheme: Lunes, Martes, Miércoles, Jueves, Viernes, Zapato y Domingo.",absurd
tweet3442,“Es imposible” dijo el orgullo. “Es arriesgado” dijo la experiencia. “Kimbarakimbarakimbakimbambá” dijo Celia Cruz.,parody
tweet3534,"—¿A qué te dedicas?
—Soy ingeniero en refrigeración y empuje.
—¿Vendes BonIce?
—Sí, traigo de mango con chilito.
#DiadelIngeniero",irony
tweet20853,"_ Mamá mamá, en la escuela me dicen huérfano
 -",embarrassment
tweet1294,¡Dios mío dame paciencia! ¡¡¡¡PERO DÁMELA YAAAAAAAA!!!! #fb,irony
tweet6379,"—Hola, me llamo Oportunidad. 
—¿Cómo?
—Lo siento, las oportunidades solo se presentan una vez.",parody
tweet21464,"#MiPreguntaEs ¿Si acá las cosas dicen: ""Hechos en china"", en china las cosas dicen: ""Hechos aquí""?",absurd
tweet19516,"«Y en el último círculo del infierno, todos estaban condenados a escuchar a los fans de GoT hablando de GoT por toda la eternidad»

—Dante.",parody
tweet4885,"—Dime con quién andas y te diré quién eres. 
—Ando con Mariela.
—Ah, ¿qué pasó, Rubén?",parody
tweet1290,Típico: cumplir el día de los inocentes y que nadie te crea.,reference
tweet22813,"Nivel 1: Despertar. Nivel 2: Intentar levantarme. Nivel 3: Ya casi me levanto. Nivel 4: Me volví a dormir ""GAME OVER"".",analogy
tweet23446,Tengo miedo de coger y que se me quite la emoción por el nuevo juego de Pokémon.,exaggeration
tweet19195,"Un hombre va al psicólogo: -Vengo a ver al Pppsicólogo -La P no se dice, ¿y por qué viene? -Orque no se me ara el ico! by @JJCO_X",embarrassment
tweet23325,"-Tijeras
-Tijeras
-Bisturí
-Bisturí
-Gasas
-De nada",misunderstanding
tweet22567,Debe ser muy triste regresar a tu casa en camión después de ver Rápido y Furioso 7.,parody
tweet23523,"Podes hacer 1 millón de favores a tu mamá, pero si te olvidas de hacer uno, ella te dice luego que no haces nada nunca.",reference
tweet2935,When se cae #Whatsapp pero no te importa porque nadie ye habla :(,embarrassment
tweet12675,Risa de personas normales: Jajaja :3 *Risa dulce y tierna* Mi risa: JAJAvsiamlAñobgrfnkJAJAJA *Golpea y aplaude como foca retrasada*,reference
tweet19808,- ¿Te puedo hacer una pregunta? -Ya me la hiciste - ¿Te puedo hacer otra? -Ya me la estas haciendo -¿Te puedo hacer otra aparte de esta? -No,embarrassment
tweet10606,"Batería baja. Batería, tú no eres baja, tú eres fuerte, muy fuerte, tú eres una guerrera, recárgate y continua tu vida energética :)",exaggeration
tweet23140,"Cuando una mujer te pide que la dejes ver el celular, preparate para responder más preguntas que Google.",analogy
tweet2090,"la Lechuga no es saludable - le dije hola y no me responde  
#chistes",wordplay
tweet11602,"El vodka es como el agua, pero con superpoderes.",analogy
tweet22692,"-Madurar es entender que en el amor importa más el interior.
-Te cogiste a la gordita, ¿verdad? 
-Juro que no vuelvo a tomar.",insults
tweet19008,"Cariño, ¿cómo sería ""EL TIEMPO"" sin ti? Y el novio le contesta: ""EL EMPO"".",embarrassment
tweet23340,"Los chicos de hoy tienen todo lo que sus padres no tuvieron de jóvenes: úlcera, estress, hipertensión...",irony
tweet19735,-¿Qué whisky prefiere? -A mi el whisky me gusta como las mujeres: de 15 años.,analogy
tweet8911,Si tuvieras que elegir entr 1 millón de dolares y salvar a tu amigo ¿Qué es lo primero que te comprarías?,unmasking
tweet4891,"Niñas de 13 años que tienen 13 años, que vergüenza, yo a su edad tenía 13 años.",irony
tweet22857,Cuál es la bebida que te pulveriza? El sprite (?) :P @SinCodificarTV,absurd
tweet10351,"""Te quiero como amigo"" Traducción Eres feo y aburrido pero me caes súper bien.",embarrassment
tweet21553,Noossa noossaa... nossaalgooo con nadiee Ay toy soltero... Ay Ayy toy soltero :(,parody
tweet8870,"A mí tambien me caga el auto corrector del iPhone, pero en fin. Feliciano 2013.",reference
tweet16305,Ese momento incomodo en que intentas estudiar y entra tu computadora en ropa interior y te seduce. #XD,exaggeration
tweet17351,"Soy como Harry Potter, pero con papás, sin magia y sin gafas. Solo que mi mejor amigo es el Ron. #XD #RT",wordplay
tweet7342,Eres como las hamburguesas de McDonald's... Sólo te ves bien en las fotos.,analogy
tweet14777,"Dicen que la vida tarde o temprano te quita lo que te estorba, ojalá que el esposo de mi novia se muera muy  pronto a la verga.",absurd
tweet19077,"Si al Barça le arbitra Stark su partido de Shempions es porque ""Robo is coming"".",wordplay
tweet18241,"“¿Tienes gripa?”

-Todo mundo a alguien que EVIDENTEMENTE tiene gripa.",reference
tweet1296,"Si ayer era diciembre, hoy es enero, ¿Mañana es febrero?

Ok. No me digan, ya me voy a chingar a mi madre por pendejo.",reference
tweet4418,El problema de Twitter es que si sos feo no podes usar un buen perfume para equilibrar.,analogy
tweet23782,Como se dice café en inglés? Coffee. ¿Y café fuerte? ....  COFFEEEE,misunderstanding
tweet23924,"Hola, soy tu regla. Sé que mañana vas de acampada y he decidido acompañarte",reference
tweet21670,"""No puedo, estoy con la perra de mi novia"". Frases que se pueden entender mal.",wordplay
tweet10158,"-Te amo, ¿tú me amas?. -¡Hmj, jmf!. -Bueno, te voy a quitar la mordaza solo esta vez. ¿Me amas? -¡AUXILI...! -Yo también te amo, Descansa.",unmasking
tweet21381,"#chiste: llega pepito
mama mama hay una cucaracha gay!!!!
por que sabes que es gay?
porque salio del closet #chistes RT",wordplay
tweet21398,"Una suegra se murió, y en su tumba le pusieron este mensaje: ""Aquí descansa ella, y en la casa descansamos todos"".",insults
tweet10434,"-Mamá!! Qué te pasa?? Aceptaste un virus en la computadora!

-Claro que no hijo!! Y si sigues fregando no te prestaré el iPad que me gané!!",misunderstanding
tweet3842,"El dinero no compra la felicidad, pero me paga el internet, y eso es casi lo mismo.",parody
tweet9892,La droga más fuerte es la almohada a las 9:00am un sábado.,absurd
tweet20646,Riñon + Riñon = 2 Riñones [calculos renales] #chistes via @cris_fajardo jaaaaaa,wordplay
tweet13588,#TwitterEstáMásLentoQue las neuronas de Peña Nieto tratando de sumar: 2 + 2.,analogy
tweet20111,"- Esperando a mi novia de NARNIA.

- Pero si NARNIA no existe!!

- OK, ya vas entendiendo.....",absurd
tweet7214,"—Oye, ¿tu crees en los alienígenas?
—Claro wey.
—¿En los unicornios?
—Pues Ahuevo.
—¿Y en el amor?
—JAJAJÁ no mames, esa madre no existe.",analogy
tweet9551,Lo malo de ser puntual es que no hay nadie allí para apreciarlo.,exaggeration
tweet16842,Vengo de una generación que se sentaba a esperar que Windows se reiniciara. Tengo toda la paciencia del mundo para esperar a que vuelvas.,analogy
tweet12853,"""Voy a ver el primer capítulo, a ver qué tal...""

—Yo antes de verme la temporada completa.",reference
tweet20426,"—Oye, ¿Qué estudias?
—Licenciatura en distinguir koalas.
—¿Cómo es eso?
—¿Ves ese perro?
—Sí.
—Bueno, no es un koala.",absurd
tweet3903,Entre cansado y casado sólo hay una letra de más... #fb,wordplay
tweet2901,"Yo tenia un perro que se llamaba ""Pafuera"". Un día le grité ""¡Adentro Pafuera!"", y se confundió y explotó.",exaggeration
tweet22873,"Qué es rojo por dentro, verde por fuera, y atraviesa paredes?... Una sandía fantasma",absurd
tweet15913,"Yo cojo con garantía, palo qué no te guste te lo repito.",analogy
tweet6683,"-Oiga sr. banquero, ¿aquí hacen préstamos familiares? -Sí -¿No me podría prestar a su hermana? #fb",unmasking
tweet5143,La locura es hereditaria; se hereda de los hijos #frases,absurd
tweet1002,"Si besarse es contagiar gérmenes, ¿qué te parece si empezamos la epidemia?",absurd
tweet17059,"El que busca encuentra. *No aplica para llaves, celulares y controles remotos*.",parody
tweet5541,"“Abrir un restaurante y ponerle *A donde tú quieras mi amor* así ya sabremos a dónde llevar a nuestras novias.”

- Idea Millonaria.",wordplay
tweet7393,Que sexy se vuelve mi cama cuando tengo que estudiar.,reference
tweet22136,"Un día sos joven, y al otro lavas los platos con agua hirviendo.",reference
tweet18379,"No hay forma de tener más de treinta años, tomarse una selfie y conservar la dignidad.",reference
tweet10779,Tiene una relación con: el refrigerador.,exaggeration
tweet20119,"No sé como llegar a Chascomus,
 se me hizo una laguna..",wordplay
tweet18896,"Pregunta de examen: ¿cómo desaparecieron los mayas?
Respuesta: Los sustituyeron los leggins...
#Chistes #Humor #A...",wordplay
tweet16153,"—Oye mi amor, ¿tu mamá no se meterá a la alberca?

—No bebé, ¿por qué?

—Como en todo se mete, yo nomás preguntaba.",exaggeration
tweet22849,#frases  todo el mundo tiene su media naranja.. Estoy empezando a creer que soy una lechuga #rt,parody
tweet7615,"Van 6 elefantes en un carro, ¿cual de ellos va manejando? El que tiene licencia de conducir",absurd
tweet21660,"""Que noche la de anoche, como me gustaría repetirla"". 

—Juanito, 15 años, virgen, tomó a escondidas dos vasos de cerveza.",exaggeration
tweet16546,"- Doctor, que tal mis análisis, me muero por saberlo.
- No, por saberlo no.... #DoctorConTacto #estasCagado #humornegro",wordplay
tweet19244,Me dijeron que si iba al gimnasio me marcaría. Llevo 6 meses yendo y sigo esperando su llamada.,misunderstanding
tweet20006,Lo dijo el profe de física:  Entre nosotros no hay química. #Chistes,wordplay
tweet3210,"A los José les dicen ""Pepe"".
A los Franciscos les dicen ""Paco"".
A los Brayan les dicen: ""AGARRENLO QUE ES RATEROOOOOOO"".",stereotype
tweet9608,Cada vez que me levanto tiendo a flashar millonario y tiro la alarma. Ahí me acuerdo que soy pobre y la vuelvo a armar y pegar con gotita.,exaggeration
tweet17033,#CosasQueMeViolentan Comprar algo y verlo mas barato tres tiendas después.,reference
tweet23948,"Pepito, hijito, necesito hablar contigo de un tema muy importante.
¿De qué tema papá?
De sexo.
Claro papá, ¿Qué quieres saber?  #XD",reference
tweet717,"Mamá, mamá, no lo vas a creer! Un tal Pablo Neruda tiene un libro con todos los poemas que te escribió mi papá cuando eran novios!",misunderstanding
tweet20568,"-Haceme el sonido del gallo
-Qué querés qué ?",wordplay
tweet881,"#Chiste Mama, mama, mama
Que pasa hijo
En la escuela me dicen bin laden
por que??
por que me tire a las gemelas. #chistes RT.",analogy
tweet21631,"—¡Rubia, tienes una neurona! —¡Quítamela, quítamela, quítamela!",stereotype
tweet10730,No hay hombre más caballeroso que el que quiere coger.,stereotype
tweet20576,"Por qué hay más chiste machistas que feministas? ...Porque es en lo único que nos preocupamos, en ellas.",absurd
tweet19185,"""Donde vos ves celulitis
Arjona ve un Gran Rex""

Ludwig van Beethoven",stereotype
tweet15542,"MAS PREOCUPADO QUE PAVO A FIN DE DICIEMBRE
Que chiste mas pavo. #chistes",wordplay
tweet20436,"—Paco, ¿por que coño echaste la leche en polvo a la lavadora? —Hostias, ¿entonces con que le he preparado el biberón al niño?",misunderstanding
tweet21531,"-Doctor, el pelo se me esta cayendo, ¿me puede dar algo para conservarlo? -Si, claro, aquí tiene una caja de zapatos",wordplay
tweet19263,"- Hola ¿Cómo te llamas?

- Katrina y tú?

- Ernesto

- NO Chingues, ¿Cómo el huracán?",analogy
tweet15062,"—Me compré una camisa en rebaja.
—¿Qué marca?
—Mi pobreza.",wordplay
tweet17676,"— Jaimito ¿Cómo se llama el hombre que come hombre? 
— Cacorro
— Se la valgo, pero era canibal. #JAJAJA #XD",misunderstanding
tweet23439,"Juanito rápido 5x8? -37 maestra! - noooo, es 40 bruto! - Perra querías velocidad o precisión??? jajajajaja #humortico",embarrassment
tweet8995,Le vi el culo y me enamoré... fue un amor de ver-ano.,wordplay
tweet23032,"¿Cual es el país que ríe y explota ?
Ja - pón
JAJAJAJAJAJAJAJAJAJAJAJAJ NECESITO AMIGOS",wordplay
tweet133,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",embarrassment
tweet5166,"–Tira una moneda, si sale cara me tomo otra cerveza. 

–Cruz.

–Otra vez.

–Cruz.

–Otra.

–Cruz.

–Joder, otra vez.

–Cara.

–Toooooma.",unmasking
tweet8172,¿Cuál es el personaje de Disney que siempre está junto a ti? Al-laddin.,wordplay
tweet21800,#InformeDeJimmy este año se avanzó en ... He ... He. .. Les cuento un chiste?,irony
tweet23244,¿Sabían que durante el parto el dolor es tan fuerte que una mujer puede llegar a imaginar cómo se siente un hombre cuando lo dejan en visto?,analogy
tweet20494,"—Amor, ¿crees que lo nuestro se esté enfriando?
—No creo, ¡Buenas noches! Saludos cordiales.",irony
tweet18724,"Niño: Oye quiero ser mas que tu Amigo
Niña: Enserio!? al fin se me va a declarar y Que quieres ser?
Niño: Quiero ser tu Hermano en FACEBOOK",unmasking
tweet19280,"Si me tomo un vino a las 5 de la mañana, ¿es tempranillo?",wordplay
tweet3846,Algunas personas necesitan un abrazo. En el cuello. Con una soga. Hasta que ya no puedan respirar.,exaggeration
tweet3472,"—¿Y la novia sobrino? 
—La embarace y la mande a la chingada, así como le hicieron a su hija, tía.",reference
tweet10972,¿Por qué metieron al tamarindo a la cárcel...? Por su pulpa...,wordplay
tweet20282,"-En un coral, un camaroncito lloraba, un cangrejo le pregunta: ¿Por qué lloras? El responde: Mi mamá no regresa de un coctel!",wordplay
tweet20333,Caminar ayuda a combatir la depresión. Sobre todo si caminas hacia una pizzería.,unmasking
tweet11253,"—Qué padre está tu disfraz de calabaza. 
—Es de zanahoria. 
—Ah.",embarrassment
tweet5352,"¿Por qué lo llamamos ""5 minutos más""?, cuando lo que queremos es dormir toda la mañana.",parody
tweet19911,"-¿Hola, tía? ¿Encontraste trabajo?
- Sí, de puta.
- Qué suerte, encima de lo tuyo.",wordplay
tweet1011,"—Oye hija, a comer.

—Mamá, pero son croquetas.

—¿No que mucho filtro de perra en SnapChat?",irony
tweet458,"Ya no existe eso de ""repondió rápido por educación"". Respondió rápido quiere pija.",exaggeration
