id,text,humor_target
tweet9825,"Una señora le dice a otra: -No puedo comer carne! -¿Presión alta? -No, pensión baja!",social status
tweet3428,"—Amor, ¡estoy embarazada! ¿Qué te gustaría que fuera?
  
—Una Modelo de Victoria Secret.

—Pero, yo hablo del beb...
 
—¡MODELO, DIJE!",body shaming
tweet4140,Llega una señora muy fea a una tienda y dice a Pepito: -Dame una escoba. -¿Se la envuelvo o se va a ir en ella? #fb,body shaming
tweet9837,Me ignoran tanto que una gitana me leyó la mano y no me respondió.,self-deprecating
tweet13524,"- ¿Qué es lo que más te gusta de una mujer?
- A mi las piernas.
- Pues mira, yo es lo primero que aparto
#Chistes...",women
tweet23172,"- Oye estupida ¿podrías dejar de darle 'Like' en Facebook a todo lo que pone mi novio? - Pero... yo soy la madre. - Ay, perdón señora.",women
tweet8262,"Qué pendejos los catalanes, se independizaron justo cuando ya terminaron las eliminatorias para Rusia, no van al Mundial.",ethnicity/origin
tweet8111,"Algunos hombres quieren tanto a sus esposas, que para no gastarlas prefieren usar las de otros...",family/relationships
tweet15589,"Oye Manolo ¿me prestas tu shampoo? 
- ¡hombre! ¿y tú no tienes el tuyo? 
- Sí, pero dice que es para cabellos secos y el mío ya esta mojao",ethnicity/origin
tweet237,"— Mama estoy Cansada... — ¿EMBARAZADA? condenada muchacha del demonio, te me vas de esta........ — Mama, dije ¡C.A.N.S.A.D.A.!",family/relationships
tweet19238,"Nueva promo de Fibertel:
12 cuotas sin internet",technology
tweet23374,"—Y dígame señor, ¿Por qué le disparo a su suegra 3 veces? —Porque solo me quedaban 3 balas, señor juez —Suéltenlo, es buen hombre",family/relationships
tweet1681,Después de estacionarse la mujer pregunta al marido: -¿Quedé muy separada de la banqueta? -¿De cuál de las dos?,women
tweet12977,"—Jeny ¿quién es el padre de la patria?
—No mame profe, no sé ni quien es el padre de mi bebé, menos el de esa pendeja.
—Reprobada.
—Ay :(",women
tweet21710,"-¿Tu hijo es tartamudo? -Si, pero sólo cuando habla...",health
tweet7966,"Los hombres tenemos dos opciones:  
1. Perder la discusión y pedir perdón.  
2. Ganar la discusión, hacerlas llorar, y luego pedir perdón.",women
tweet19088,"— Mesero, la cuenta por favor.
— Claro, son $2,300.
— Uy, ¿pues qué rompí?
— Pues la dieta ¡Pinche gordo! Tragaste un chingo.",body shaming
